losstype_ID,ID,losscause,lossdesc,createdAt,createdBy,modifiedAt,modifiedBy
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,10000001-1111-1111-1111-111111111111,Natural Death,Death due to natural causes,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,10000002-2222-2222-2222-222222222222,Accidental Death,Death due to road traffic accident,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,10000003-3333-3333-3333-333333333333,Root Canal Treatment,Dental root canal procedure,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,10000004-4444-4444-4444-444444444444,Dental Restoration,Tooth restoration using crown,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
cccccccc-cccc-cccc-cccc-cccccccccccc,10000005-5555-5555-5555-555555555555,Collision,Vehicle collision with another car,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
cccccccc-cccc-cccc-cccc-cccccccccccc,10000006-6666-6666-6666-666666666666,Theft of Vehicle,Complete vehicle theft,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
dddddddd-dddd-dddd-dddd-dddddddddddd,10000007-7777-7777-7777-777777777777,Burglary/Theft,Household contents stolen,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
dddddddd-dddd-dddd-dddd-dddddddddddd,10000008-8888-8888-8888-888888888888,Water/Pipes,Burst pipe damaged household contents,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,10000009-9999-9999-9999-999999999999,Surgery,Hospital admission for surgery,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,10000010-aaaa-bbbb-cccc-ddddeeeeffff,Emergency Admission,Emergency inpatient treatment,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
ffffffff-ffff-ffff-ffff-ffffffffffff,10000011-bbbb-cccc-dddd-eeeeffffffff,Cancer,Critical illness due to cancer diagnosis,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
ffffffff-ffff-ffff-ffff-ffffffffffff,10000012-cccc-dddd-eeee-ffffffffffff,Heart Attack,Acute myocardial infarction,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
99999999-9999-9999-9999-999999999999,10000013-dddd-eeee-ffff-111111111111,Financial Requirement,Partial surrender for personal financial needs,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
99999999-9999-9999-9999-999999999999,10000014-eeee-ffff-1111-222222222222,Education Expense,Partial surrender for child's education,2026-08-05T10:00:00Z,system,2026-08-05T10:00:00Z,system
